긍정,점수
마음을 받아들이다,1
마음을 베풀거나,1
마음을 써서,1
마음을 털어놓고,1
마음을 홀리는,1
마음이 간절하다,1
마음이 생기다,1
마음이 신령하다,1
마음이 신령하여,1
마음이 움직이다,1
마음이 움직임,1
마음이 진정되어,1
마음이 풀리어,1
마음이 흡족하여,1
마초맨,1
많음,1
많이 잡다,1
많이 잡혔음을,1
많이 잡히는,1
말똥말똥,1
말똥말똥 쳐다보다,1
말할 수 없을 만큼,1
맛깔나다,1
맛이 달거나,1
맛있는 음식,1
망상과 잡념을 없애고,1
맞고 순순히,1
맞추어,1
맞추어 나가다,1
매끄러운,1
매끄러운 모양,1
매끄러워서,1
매끄럽고,1
매끄럽다,1
매끈둥대다,1
매끈하게,1
매력에,1
매력적인,1
매료되어,1
매료되어 취하다,1
매우 고분고분하고,1
매우 그럴싸하다,1
매우 능글능글한,1
매우 뜨뜻하고,1
매우 매끄럽다,1
매우 매끈하게,1
매우 미끄러운,1
매우 미끄럽다,1
매우 뽀얀,1
매우 생기가,1
매우 앙큼하다,1
매우 훌륭한,1
맹세하다,1
먹음새가 좋아서,1
멀쑥하게,1
멀쑥하다,1
멀쑥한,1
멀쑥한 모양,1
멀쩡하다,1
멋들어지게 부드럽고,1
멋진,1
명복을 빌고,1
명복을 빌다,1
명예롭다,1
명쾌한,1
명쾌함,1
모순을 초월한,1
모양이 꼼꼼하고,1
모자람이 없을,1
모자람이 없이,1
몸가짐이 의젓하고,1
몸보신하다,1
몸을 깜찍하게,1
몸을 단련하거나,1
몸을 보하는,1
몸을 조리함,1
몸짱,1
몹시 끌리도록,1
무게 있게,1
무게가 있게,1
무게가 있는,1
무게가 있다,1
무궁무진하다,1
무량한 마음을,1
무료로,1
무르고 부드러운,1
무르고 부드럽다,1
무사히,1
무엇을 바라거나,1
무엇을 융통하거나,1
무용적 조화와,1
무편무당하다,1
무해한,1
문체가 화려하게,1
물이 맑고,1
물이 오르다,1
물정에 밝은,1
뭇사람을 구제함,1
므흣하다,1
미끄러운,1
미끄러운 모양,1
미끈하다,1
미루지 않고,1
미묘하여,1
미세함,1
미소를 보냄을,1
믿고,1
믿고 의지하다,1
믿다,1
믿을 수 없을 정도로,1
믿음,1
믿음을,1
바라거나 의지하다,1
바로잡다,1
바로잡아 새로운,1
바르게 고치다,1
바르게 만들다,1
바른 정치로,1
반들반들,1
반들반들 윤기가,1
반들반들하다,1
반듯하게,1
반듯하고,1
반성하고,1
반하다,1
반해버리다,1
반했다,1
받다,1
발달된,1
발달된 문명,1
발달하게 되다,1
발달하게 하다,1
발라서,1
발라서 흐뭇하다,1
발전,1
발전되도록,1
발전시키는,1
발전시키는 일,1
발전이나,1
발전하게 하다,1
발전하는,1
발전하다,1
밝게 빛나거나,1
밝고 선명한,1
배우다,1
배워지고 닦이다,1
버프,1
번듯이,1
번듯하게,1
번듯하고,1
번듯하고 의젓한,1
번하다,1
벗,1
벗어남이 없이,1
베푸는,1
베풀거나,1
베풀다,1
베풀어,1
베풀어 주는,1
베풀어 주다,1
베풀어 줌,1
베풀어서,1
베풀어져,1
베풀어져 주어지다,1
베풀어지다,1
변함없이,1
병을 치료하다,1
보고 싶어,1
보고 싶어 하다,1
보기도 괜찮고,1
보기에 신묘하게,1
보기에 어질고,1
보답이,1
보답하는,1
보드라운,1
보드라운 느낌이,1
보드라운 모양,1
보드랍게,1
보드랍게 살그머니,1
보드랍게 웃는,1
보드랍고,1
보드랍고 만만하다,1
보드랍고 무르다,1
보드랍고 무른,1
보드랍고 순하게,1
보드랍고 순한,1
보드랍고 야들야들한,1
보드랍고 연하게,1
보드랍고 연하다,1
보드랍고 연한,1
보드랍고 탄력,1
보드랍고 하늘하늘하다,1
보드랍다,1
보란 듯이,1
보람,1
보람이나,1
보람이나 소득이,1
보배,1
보살의 지혜,1
보살피거나,1
보살피거나 수고하는,1
보살피거나 위하는,1
보살피다,1
보송보송,1
보송보송하다,1
보충하다,1
보탬이,1
보탬이 되는,1
보통 이상의,1
보통 이상의 수준이어서,1
보통 이상이다,1
보호하여,1
복리를,1
복리를 가져오는,1
본받을 만한,1
볼매,1
봄날의,1
봄날의 경치에,1
봄의 경치,1
봄철의 빛,1
부드러우며,1
부드러우면서,1
부드러우면서 아삭하다,1
부드러운,1
부드러운 느낌이,1
부드러운 마음과,1
부드러운 맛,1
부드러운 모양,1
부드러운 태도에서,1
부드러워지게,1
부드러워지게 하다,1
부드럽게,1
부드럽게 녹여,1
부드럽게 퍼지다,1
부드럽게 흔들리는,1
부드럽고,1
부드럽고 매끄러워서,1
부드럽고 반드럽게,1
부드럽고 반드럽다,1
부드럽고 번드럽게,1
부드럽고 번드럽다,1
부드럽고 서정적인,1
부드럽고 순하게,1
부드럽고 순하다,1
부드럽고 순한,1
부드럽고 아삭아삭한,1
부드럽고 연하게,1
부드럽다,1
부러운,1
부러워함,1
부자,1
부족함이 없다,1
부처의 지혜,1
부처의 지혜가,1
북받쳐 일어나다,1
분명하게,1
분명하게 짓다,1
분명하고,1
분명하고 또렷이,1
분명하다,1
분명한,1
분명한 답을,1
분명한 모양,1
분발하도록 격려하다,1
분위기가 점잖고,1
분위기가 점잖고 엄숙하게,1
분위기가 좋은,1
분풀이하다,1
분하고 원통한 마음을 풀어 버리다,1
불만이 없어,1
불편부당,1
불편부당하다,1
붙임성,1
붙임성 있게,1
비장의,1
비장의 수,1
비중이 있다,1
빈틈없고,1
빈틈없고 야무지다,1
빙긋거리다,1
빙긋대다,1
빛,1
빛나고,1
빛나고 환하게,1
빛나며,1
빠르다,1
뻑뻑하지 아니하게,1
뽀록,1
뽀얀,1
뽀얀 모양,1
뽐내는,1
뽐내는 모양,1
뽐내다,1
뽐낼,1
뽐낼 만한,1
ㅅㅅ,1
사건에 적극적으로,1
사고가 없다,1
사교적,1
사교적이다,1
사교적인,1
사귀다,1
사귀어,1
사람다운,1
사랑과,1
사랑을,1
사랑을 느낄,1
사랑을 표현하는,1
사랑이,1
사랑하는 태도를,1
사로잡다,1
사리를 밝혀,1
사리에 밝고,1
사물에 밝은,1
사뿐사뿐하다,1
사뿐하다,1
사사로움이 없다,1
사사로움이 없음,1
사심없는,1
사회의 발전이나,1
산 교훈,1
산뜻하거나 뜨거우면서,1
산뜻한,1
살그머니,1
살그머니 웃는,1
살그머니 웃다,1
살려 주다,1
살빛이 희고,1
살아나거나,1
살아나거나 생겨나다,1
상긋,1
상긋거리다,1
상긋방긋하다,1
상긋상긋,1
상긋하다,1
상당하다고,1
상당한,1
상당한 수준이나,1
상당한 지식과,1
상대를 이기다,1
상서로운,1
상서로운 날,1
상서롭다,1
상승곡선,1
상승세,1
상승효과,1
상큼하다,1
상태를 유지함,1
상하지 아니하고,1
상향하다,1
새로운,1
새로운 길에,1
새로워지다,1
새롭게,1
새롭게 고치다,1
새실대다,1
색감이 밝고,1
색다른,1
생각하고 그리워하다,1
생각하고 그리워함,1
생겨나다,1
생글생글,1
생글생글 웃으면서,1
생긋,1
생긋거리다,1
생긋대다,1
생긋방긋,1
생긋방긋거리다,1
생기 있게,1
생기 있고,1
생기 있는,1
생기가,1
생기가 있게,1
생기가 있고,1
생기가 있는,1
생기가 있다,1
생김새가 아담하고,1
생동감이,1
생생하게,1
생생하게 보이는,1
생생하고,1
생생하고 산뜻하게,1
생생하다,1
생생한,1
생생한 기운이,1
생생히,1
생활에 유용함을,1
생활이 넉넉하여,1
생활이 원만하고,1
서늘하다,1
서로 사귀며,1
서로 친하다,1
서로 협력함을,1
서로 화답하며,1
서정적인,1
선뜻 행동하는,1
선뜻 행동하다,1
선량하다,1
선량한,1
선명하게,1
선명하다,1
선명하다는,1
선명하다는 뜻으로,1
선명한,1
선선한,1
선선한 느낌이,1
선업을,1
선전하다,1
선진적인,1
설레거나,1
설레거나 움직이다,1
설레게,1
설레게 하는,1
설레게 하다,1
설레는,1
설레는 모양,1
설레다,1
설레어,1
설레이다,1
섬세하게,1
섬세하고,1
성과가,1
성과가 있을,1
성교,1
성교 하다,1
성숙되다,1
성숙하고,1
성숙하고 발전하다,1
성숙하다,1
성의가,1
성의를 보이거나,1
성장되거나,1
성장되거나 성숙되다,1
