부정,점수
나쁘게 만들다,-1
나쁘게 말하여,-1
나쁘고,-1
나쁘다,-1
나쁜,-1
나쁜 기운을,-1
나쁜 놈,-1
나쁜 말로,-1
나쁜 버릇,-1
나쁜 생각을,-1
나쁜 일,-1
나쁜 일을,-1
나쁜 짓을,-1
나쁜 징조의,-1
나쁜 처지로,-1
나쁜 흉계,-1
나쁜놈,-1
나쁠,-1
나쁠 정도로,-1
나타나는 불쾌한,-1
나태하다,-1
나태한,-1
낙담,-1
낙담하다,-1
낙망,-1
낙망하다,-1
낙심,-1
낙심되다,-1
낙심하다,-1
난잡스러운,-1
난잡스러운 짓,-1
난잡하다,-1
난잡한,-1
난잡한 상태가,-1
난처하거나,-1
난처하고,-1
난폭하거나,-1
난폭하거나 주책없는,-1
난폭한 행위로,-1
난하다,-1
날카롭고 격하게,-1
남에게 복종하면서,-1
남에게 억지로,-1
남에게 폐를,-1
남용하다,-1
남을 괴롭히는,-1
남을 굴복시킴,-1
남을 깎아내리기,-1
남을 낮추어,-1
남을 낮추어 보듯이,-1
남을 멸시하거나,-1
남을 못살게,-1
남을 성가시게,-1
남을 업신여기는,-1
남을 조롱하거나,-1
남을 해치려다가,-1
남을 헐뜯고,-1
남을 헐뜯다,-1
남을 헐뜯어,-1
남을 헐뜯으려고,-1
남을 헐뜯음,-1
남의 어리석은,-1
남이 병들거나,-1
납치,-1
낭비 된,-1
낭비된,-1
낭패,-1
낮잡는,-1
낮잡는 뜻으로,-1
낮잡아,-1
낮잡아 이르는,-1
낮추어,-1
낮추어 보거나,-1
낮추어 보듯이,-1
낮추어 보아,-1
낮추어 이르는,-1
내거나 불평을,-1
내놓기가 싫다,-1
내는 성,-1
내던져 버리다,-1
내던져 버림,-1
내버려지다,-1
내버리거나,-1
내숭스럽고 거칠다,-1
내용이 못마땅하거나,-1
내쫓기다,-1
내쫓김을 당하다,-1
내쫓는,-1
내쫓는 일,-1
내쫓다,-1
내쫓아,-1
냉담한,-1
냉랭하거나,-1
냉랭하고,-1
냉랭하며,-1
너무 더디거나,-1
너무 볼품없이,-1
너무 쇠약해지거나,-1
너무 예민하거나,-1
너무 지나치거나,-1
너무하다,-1
너절하게,-1
너절하다,-1
너절한,-1
너절한 상태,-1
너절한 상태이다,-1
넌더리가,-1
넌더리가 날,-1
넌씨눈,-1
노답,-1
노략질하는,-1
노략질하는 짓을,-1
노략질함을,-1
노여운,-1
노여운 감정이,-1
노여움,-1
노여움 따위를,-1
노여움을,-1
노여움을 나타내다,-1
노엽거나,-1
노엽거나 언짢은,-1
노예,-1
노하여,-1
노하여 화증,-1
노한다,-1
노함,-1
녹이 심하게,-1
놀라거나 두려워서,-1
놀라거나 떪,-1
놀라거나 무서워,-1
놀라거나 불안하여,-1
놀라거나 슬퍼서,-1
놀라거나 아파서,-1
놀라거나 어색한,-1
놀랍거나 언짢아서,-1
놀리다 비아냥대다,-1
놀림조,-1
놀림조로,-1
놀림조로 이르는,-1
농락하여,-1
농지거리를,-1
농지거리를 하다,-1
뇌의 장애로,-1
뇌종양,-1
뇌진탕,-1
뇌출혈,-1
뇌타박상,-1
눈꼴 사납게,-1
눈꼴사납게,-1
눈꼴사납고,-1
눈꼴사납다,-1
눈물겹다,-1
눈물을 흘리다,-1
눈물이 넘칠듯이,-1
눈물이 많이,-1
눈물이 좔좔,-1
눈알을 경망스럽게,-1
눈에 거슬리다,-1
눌러 없애다,-1
느개비,-1
느글거리는,-1
느글거리는 모양,-1
느글거리다,-1
느글대다,-1
느금마,-1
느끼는 고통,-1
느끼하다,-1
느끼해지는 모양,-1
느끼해지다,-1
늘 앓거나,-1
늙은이를 낮잡아,-1
능력이 없는,-1
능력이 없다,-1
능력이 없어지다,-1
능력이 없이,-1
다루기가 거북하고,-1
다소 건방지게,-1
다소 비굴하게,-1
다치게 하다,-1
다치게 함,-1
다치게 함으로써,-1
다침,-1
다투거나,-1
다투거나 우기다,-1
다투는,-1
다투는 것을,-1
다투는 모양,-1
다투는 소리,-1
다투다,-1
다툼을,-1
닦달하거나,-1
단단히 꾸짖어,-1
답답하고 갑갑한,-1
답답하고 분한,-1
답답하고 분함,-1
답답하고 안타깝게,-1
