숙소번호,모텔명,주소,추천여부_3,추천여부_2,추천여부_최종
24,순천 순천만갈대숲펜션,전라남도 순천시 순천만길 586,매우완전추천,보통추천,보통
25,구례 지리산나무향기펜션,전라남도 구례군 토지면 섬진강대로 4310-41(나무향기)지리산나무향기펜,매우완전추천,완전추천,추천2
26,구례 지리산쉬리펜션,전라남도 구례군 토지면 섬진강대로 4310-46,매우완전추천,보통추천,보통
27,구례 지리산로시난테하우스펜션,전라남도 구례군 토지면 피아골로 81,매우완전추천,완전추천,추천2
28,순천 달벗한옥펜션,전라남도 순천시 월등면 계월길 130-16,매우완전추천,보통추천,보통
29,순천 베네치아호텔,전라남도 순천시 팔마2길 13,매우완전추천,완전추천,추천2
30,순천 펜션호박펜션,전라남도 순천시 순천만길 582,매우완전추천,완전추천,추천2
31,구례 리틀프린스펜션,전라남도 구례군 마산면 화엄사로 386-9,매우완전추천,완전추천,추천2
32,순천 순천만정문펜션,전라남도 순천시 순천만길 492,매우완전추천,완전추천,추천2
33,구례 지리산풍경채펜션,전라남도 구례군 토지면 당치길 89,매우완전추천,보통추천,보통
34,순천 최가네한옥펜션,전라남도 순천시 낙안면 조정래길 788,매우완전추천,보통추천,보통
35,순천 순천만힐링캠프펜션,전라남도 순천시 해룡면 해창길 15,매우완전추천,보통추천,보통
36,순천 순천만에코빌리지2펜션,전라남도 순천시 순천만길 704 2동,매우완전추천,보통추천,보통
37,순천 오롯하다키즈풀빌라,전라남도 순천시 주암면 주암호길 27,매우완전추천,보통추천,보통
38,순천 순천만갈대밭펜션,전라남도 순천시 순천만길 656,보통추천,비추천,보통
39,구례 햇살좋은아침펜션,전라남도 구례군 토지면 섬진강대로4310-39,매우완전추천,완전추천,추천2
40,순천 사계절해오름펜션,전라남도 순천시 낙안면 조정래길 786-4,매우완전추천,보통추천,보통
41,구례 예다향펜션,전라남도 구례군 간전면 거석길 6,매우완전추천,완전추천,추천2
42,구례 지리산봉쥬르펜션,전라남도 구례군 토지면 섬진강대로 4310-20봉쥬르펜션,매우완전추천,보통추천,보통
43,구례 민들레여행펜션,전라남도 구례군 토지면 섬진강대로 4310-23,매우완전추천,완전추천,추천2
44,순천 JNJ빌리지펜션,전라남도 순천시 해룡면 해룡로817-13,매우완전추천,보통추천,보통
45,순천 순천만쉼표펜션,전라남도 순천시 순천만길 726-15,완전추천,보통추천,보통
46,순천 행복한하루펜션,전라남도 순천시 대대2길 46-9,매우완전추천,완전추천,추천2
47,순천 순천만예랑펜션,전라남도 순천시 해룡면 해룡로 684-13,완전추천,완전추천,추천4
48,구례 산수유꽃담길펜션,전라남도 구례군 산동면 평촌길 28-20,완전추천,완전추천,추천4
49,순천 순천만풀리조트,전라남도 순천시 상사면 우산보길 62,매우완전추천,비추천,보통
50,담양 메테오라펜션,전라남도 담양군 담양읍 메타프로방스1길 70메테오라펜션,완전추천,보통추천,보통
51,담양 메타펜션,전라남도 담양군 담양읍 메타프로방스3길 4-6,완전추천,비추천,보통
52,담양 JK쉼펜션,전라남도 담양군 용면 금성산성길 475,매우완전추천,비추천,보통
53,담양 반딧불펜션,전라남도 담양군 용면 쌍태길 62-9,매우완전추천,완전추천,추천2
54,담양 산토리니펜션,전라남도 담양군 담양읍 메타프로방스3길9,매우완전추천,비추천,보통
55,담양 소나무펜션,전라남도 담양군 담양읍 세솔길 10,매우완전추천,완전추천,추천2
56,담양 라라345펜션,전라남도 담양군 금성면 금성문화길 15,매우완전추천,매우완전추천,추천1
57,"화순 더휴일(2층독채,개별풀장)",전라남도 화순군 이서면 규봉로 887-30,매우완전추천,완전추천,추천2
58,장성 더힐링나인풀빌라,전라남도 장성군 서삼면 모암길 153-43,매우완전추천,완전추천,추천2
59,곡성 강변스케치펜션,전라남도 곡성군 고달면 가정마을길 39-76,완전추천,비추천,보통
60,담양 메이플펜션,전라남도 담양군 용면 추월산로 1234,매우완전추천,비추천,보통
61,화순 더휴일캐슬펜션 (신축),전라남도 화순군 이서면 규봉로 887-42,매우완전추천,보통추천,보통
62,담양 정원펜션,전라남도 담양군 금성면 금성문화길 19,매우완전추천,완전추천,추천2
63,담양 풀꽃펜션,전라남도 담양군 금성면 금성문화길 14,매우완전추천,완전추천,추천2
64,담양 생폴드방스펜션,전라남도 담양군 담양읍 메타프로방스1길 70,매우완전추천,보통추천,보통
65,담양 씨엘펜션,전라남도 담양군 담양읍 메타프로방스1길 70,매우완전추천,매우완전추천,추천1
66,담양 쁘띠까도펜션,전라남도 담양군 용면 와산길 51-3,매우완전추천,완전추천,추천2
67,담양 담양펜션(스테이),전라남도 담양군 용면 추월산로 1229 담양펜션,매우완전추천,보통추천,보통
68,화순 더휴일풀빌라(2층 독채),전라남도 화순군 이서면 규봉로 887-32,매우완전추천,보통추천,보통
69,곡성 좋은세상리조트글램핑펜션,전라남도 곡성군 죽곡면 대황강로 1397-45,매우완전추천,비추천,보통
70,담양 버치펜션,전라남도 담양군 용면 복리암길 1,완전추천,비추천,보통
71,담양 스테이휘경펜션,전라남도 담양군 용면 해오름길 15,매우완전추천,완전추천,추천2
72,담양 대숲여행펜션,전라남도 담양군 금성면 금성문화길 29,완전추천,비추천,보통
73,담양 티라시아펜션,전라남도 담양군 담양읍 메타프로방스3길 23,매우완전추천,보통추천,보통
74,담양 두리담음(한옥민박),전라남도 담양군 수북면 황덕길 96-39,매우완전추천,보통추천,보통
75,담양 자연나드리펜션,전라남도 담양군 월산면 홍암길 39-28,매우완전추천,완전추천,추천2
76,담양 슈트라하우스펜션,전라남도 담양군 금성면 금성산성1길 68-2,매우완전추천,완전추천,추천2
77,담양 담빛펜션,전라남도 담양군 담양읍 객사5길 6-5,매우완전추천,보통추천,보통
78,담양 방아재한옥펜션,전라남도 담양군 가사문학면 백아로 2700,매우완전추천,완전추천,추천2
79,"담양 까사블랑카펜션(D,E동)",전라남도 담양군 담양읍 연화길 167-79,매우완전추천,완전추천,추천2
80,담양 한옥에서펜션,전라남도 담양군 창평면 돌담길 88-9,매우완전추천,매우완전추천,추천1
81,담양 메종드프로방스풀빌라,담양군 담양읍 메타프로방스2길 14 (학동리)메종드프로방스풀빌라,매우완전추천,보통추천,보통
82,담양 세솔길12펜션,전라남도 담양군 담양읍 세솔길12,매우완전추천,보통추천,보통
83,화순 아델캐슬키즈풀빌라,전라남도 화순군 도곡면 지강로 459-9,매우완전추천,보통추천,보통
84,나주 한옥스테이중정,전라남도 나주시 금성관길 43-6,매우완전추천,완전추천,추천2
85,담양 힐링파크글램핑,전라남도 담양군 봉산면 탄금길 9-26,매우완전추천,비추천,보통
86,장성 편백숲속펜션,전라남도 장성군 북일면 축령로 959,매우완전추천,보통추천,보통
87,담양 꽃담펜션,전라남도 담양군 금성면 금성문화길 5,매우완전추천,완전추천,추천2
88,담양 오감서펜션,전라남도 담양군 금성면 금성산성길 293,보통추천,비추천,보통
89,담양 친구와돌담길펜션(독채),전라남도 담양군 창평면 돌담길 79,매우완전추천,보통추천,보통
90,나주 비토애럭셔리글램핑나주점,전라남도 나주시 산포면 산남로 67-47,완전추천,매우완전추천,추천3
91,담양 산토리니펜션5동,전라남도 담양군 담양읍 메타프로방스3길 23,매우완전추천,보통추천,보통
92,담양 사나래펜션,전라남도 담양군 금성면 금성문화길 8-8,매우완전추천,완전추천,추천2
93,담양 송죽헌펜션,전라남도 담양군 금성면 금성문화길 30,매우완전추천,보통추천,보통
94,장성 사계절온천펜션,전라남도 장성군 북하면 남창로 416,완전추천,비추천,보통
95,담양 클로버펜션,전라남도 담양군 용면 추령로 243-25,완전추천,비추천,보통
96,장성 황룡강펜션게스트하우스,전라남도 장성군 장성읍 내기길 16-35,완전추천,비추천,보통
97,나주 숲아래잠펜션,전라남도 나주시 남평읍 인암2길 9-14,보통추천,비추천,보통
98,여수 달콤펜션,전라남도 여수시 돌산읍 계동로 515,매우완전추천,완전추천,추천2
99,여수 케렌시아리조트,전라남도 여수시 화양면 화양로 1527-32,매우완전추천,보통추천,보통
100,여수 큐브펜션,전라남도 여수시 돌산읍 진두해안길 101,매우완전추천,완전추천,추천2
101,여수 카펠라 리조트(신축),전라남도 여수시 돌산읍 돌산로 3138,매우완전추천,완전추천,추천2
102,여수 하이클래스153부띠끄리조트,전라남도 여수시 돌산읍 무술목길 116,매우완전추천,보통추천,보통
103,여수 키웨스트리조트(낭만포차 도보10분),전라남도 여수시 이순신광장로 139,매우완전추천,매우완전추천,추천1
104,여수 썬힐스파펜션,전라남도 여수시 돌산읍 신추길 22,매우완전추천,보통추천,보통
105,여수 리움호스텔,전라남도 여수시 돌산읍 진두해안길 72,매우완전추천,보통추천,보통
106,여수 해들채펜션,전라남도 여수시 망양로 38,완전추천,보통추천,보통
107,여수 르그랑블루리조트,전라남도 여수시 돌산읍 무술목길 34,매우완전추천,매우완전추천,추천1
108,"여수 해오름스파펜션(해수욕,펜션앞낚시)",전라남도 여수시 돌산읍 향일암로 788,매우완전추천,완전추천,추천2
109,여수 케이파크펜션,전라남도 여수시 돌산읍 돌산로 3108,매우완전추천,완전추천,추천2
110,여수 휴펜션&호스텔 (낭포도보 4분),전라남도 여수시 종화1길 13-1,매우완전추천,완전추천,추천2
111,여수 뷰포레스파펜션(넷플릭스이용가능),전라남도 여수시 돌산읍 백초길 74 (우두리),매우완전추천,완전추천,추천2
112,여수 여수밤바다펜션,전라남도 여수시 돌산읍 계동로 392 여수밤바다펜션,매우완전추천,완전추천,추천2
113,"여수 안녕,여수펜션(신축,낭만포차3분,관광초근접)","전라남도 여수시 오동도로 61-16 안녕, 여수",매우완전추천,보통추천,보통
114,여수 엔펜션,전라남도 여수시 망양로 40,매우완전추천,완전추천,추천2
115,여수 마린테라스풀빌라,전라남도 여수시 화양면 굴개길 65,매우완전추천,매우완전추천,추천1
116,여수 바라보다펜션,전라남도 여수시 화정면 화백해안길 183,매우완전추천,완전추천,추천2
117,여수 블루망고풀빌라앤리조트,전라남도 여수시 돌산읍 계동해안길 90,매우완전추천,보통추천,보통
118,여수 라포즈펜션,전라남도 여수시 돌산읍 돌산로 3169-26,매우완전추천,매우완전추천,추천1
119,여수 굿타임리조트,전라남도 여수시 돌산읍 안굴전길 115,매우완전추천,보통추천,보통
120,여수 나폴리펜션,전라남도 여수시 돌산읍 진두해안길 68,매우완전추천,비추천,보통
121,여수 하멜펜션,전라남도 여수시 고소3길 92,매우완전추천,완전추천,추천2
122,여수 마리나유스호스텔,전라남도 여수시 돌산읍 계동로 407,매우완전추천,보통추천,보통
123,여수 지뜨펜션(여수낭만포차 도보1분내),전라남도 여수시 여수시민로 1,매우완전추천,완전추천,추천2
124,여수 여수야호스텔펜션,전라남도 여수시 하멜로 60,매우완전추천,보통추천,보통
125,여수 모리아펜션,전라남도 여수시 화양면 옥천로 1063-2,매우완전추천,매우완전추천,추천1
126,여수 디마레풀빌라&키즈,전라남도 여수시 돌산읍 평사로 149,매우완전추천,보통추천,보통
127,여수 케이브풀빌라(Cave poolvilla),전라남도 여수시 돌산읍 평사로 505-1,매우완전추천,보통추천,보통
128,여수 히든비치리조트펜션,전라남도 여수시 돌산읍 마상포길 39-3,매우완전추천,보통추천,보통
129,"여수 삼학1947풀빌라(신축, 낭만포차)",전라남도 여수시 이순신광장로 200-3,매우완전추천,완전추천,추천2
130,여수 아일랜드보인다펜션,전라남도 여수시 돌산읍 계동로 523-1,매우완전추천,완전추천,추천2
131,여수 해랑호스텔펜션,전라남도 여수시 하멜로 88,매우완전추천,매우완전추천,추천1
132,여수 온다도로펜션,전라남도 여수시 소호1길 44,매우완전추천,완전추천,추천2
133,여수 노을담은호스텔,전라남도 여수시 돌산읍 돌산로 3169-28,매우완전추천,완전추천,추천2
134,여수 디아크리조트&풀빌라(수영장무료),전라남도 여수시 돌산읍 돌산로 3169-30,매우완전추천,보통추천,보통
135,여수 노을과바다풀빌라,전라남도 여수시 화양면 화서로 173-24,매우완전추천,보통추천,보통
136,여수 아모르펜션(낚시스팟),전라남도 여수시 돌산읍 평사로 146,매우완전추천,완전추천,추천2
137,여수 노을드림펜션,전라남도 여수시 화양면 옥천로 1063-13,매우완전추천,비추천,보통
138,"여수 밀라그로펜션(수영장,오션뷰)",전라남도 여수시 돌산읍 계동로 521-1,매우완전추천,매우완전추천,추천1
139,여수 리틀포레스트펜션(낭만포차인근),전라남도 여수시 돌산읍 상하동길 112,완전추천,보통추천,보통
140,여수 썬비치펜션,전라남도 여수시 이순신광장로 165,매우완전추천,완전추천,추천2
141,여수 슈가브리움펜션,전라남도 여수시 돌산읍 몰둠벙길 58,매우완전추천,완전추천,추천2
142,여수 아일리아펜션,전라남도 여수시 돌산읍 계동로 415,완전추천,비추천,보통
143,여수 라메르펜션,전라남도 여수시 돌산읍 무술목길 83,매우완전추천,보통추천,보통
144,여수 르파라디리조트,전라남도 여수시 망양로 588,매우완전추천,완전추천,추천2
145,여수 뷰21펜션 (통대관),전라남도 여수시 화양면 안포장수로 154,매우완전추천,보통추천,보통
146,여수 더뷰917리조트펜션,전라남도 여수시 돌산읍 무술목길80,매우완전추천,보통추천,보통
147,여수 풀빌라리조트 리베라,전라남도 여수시 소라면 궁항길 115-16,매우완전추천,완전추천,추천2
148,영암 비바체펜션,전라남도 영암군 영암읍 탑동길 18-15비바체펜션,매우완전추천,매우완전추천,추천1
149,신안 썬코스트리조트,전라남도 신안군 증도면 보물섬길 179-27,매우완전추천,보통추천,보통
150,완도 바하펜션,전라남도 완도군 완도읍 구계등길 36,매우완전추천,완전추천,추천2
151,영광 노을연가펜션,전라남도 영광군 백수읍 해안로4길 185-37,매우완전추천,보통추천,보통
152,보성 보성녹차리조트,전라남도 보성군 보성읍 녹차로 777,완전추천,비추천,보통
153,고흥 나로in별빛펜션,전라남도 고흥군 동일면 성두구룡길 72-14,매우완전추천,매우완전추천,추천1
154,완도 솔비치펜션,전라남도 완도군 신지면 명사십리61번길 163,매우완전추천,보통추천,보통
155,완도 동고리의아침펜션,전라남도 완도군 신지면 신지로 1261,매우완전추천,매우완전추천,추천1
156,고흥 거금아일랜드펜션,전라남도 고흥군 금산면 배천길 36,매우완전추천,비추천,보통
157,신안 천일염힐링캠프카라반,전라남도 신안군 증도면 지도증도로 1083-4,매우완전추천,비추천,보통
158,보성 왕실의펜션,전라남도 보성군 웅치면 일림로 530-26,매우완전추천,완전추천,추천2
159,보성 별바라기펜션,전라남도 보성군 득량면 공룡로 659-8,매우완전추천,완전추천,추천2
160,고흥 하얀노을호텔,전라남도 고흥군 동일면 와다리길 3,보통추천,완전추천,보통
161,완도(보길도) 블랙스톤펜션,전라남도 완도군 보길면 예송로 264-10,매우완전추천,비추천,보통
162,진도 해오름펜션,전라남도 진도군 고군면 모사길 109-89,매우완전추천,완전추천,추천2
163,장흥 수문리조트,전라남도 장흥군 안양면 수문용곡로 193-33,매우완전추천,보통추천,보통
164,광양 필관광하우스펜션,전라남도 광양시 옥룡면 묵방길 10,완전추천,완전추천,추천4
165,고흥 휴샹그릴라펜션,전라남도 고흥군 포두면 팔영로 202-27,매우완전추천,보통추천,보통
166,신안 프롬휴풀빌라펜션,전라남도 신안군 증도면 보물섬길 280-33,매우완전추천,보통추천,보통
167,무안 애모시옹풀빌라펜션,전라남도 무안군 망운면 청운로 881,매우완전추천,보통추천,보통
168,장흥 참새미힐링하우스펜션,전라남도 장흥군 장흥읍 외평길 134-15,매우완전추천,비추천,보통
169,완도 청해진한옥펜션,전라남도 완도군 군외면 청해진로 548,완전추천,보통추천,보통
170,해남 땅끝마을휘겔리펜션,전라남도 해남군 삼산면 가재길 56,매우완전추천,매우완전추천,추천1
171,보성 수진한옥펜션,전라남도 보성군 보성읍 사동길 37,매우완전추천,매우완전추천,추천1
172,완도 원네스리조트,전라남도 완도군 완도읍 청해진서로 189-50,매우완전추천,비추천,보통
173,강진 다향소축한옥민박펜션,전라남도 강진군 도암면 다산초당1길 7-5,매우완전추천,보통추천,보통
174,완도 청산도여행펜션,전라남도 완도군 청산면 청산로 667-13,매우완전추천,완전추천,추천2
175,보성 구름속의산책펜션,전라남도 보성군 회천면 일림산길 309,매우완전추천,완전추천,추천2
176,완도 라일펜션,전라남도 완도군 신지면 신지로582번길 94-10,완전추천,비추천,보통
177,고흥 오션뷰펜션,전라남도 고흥군 도양읍 녹동2길 2,보통추천,매우완전추천,보통
178,해남 노을빛바다펜션,전라남도 해남군 문내면 증도길 31-42,보통추천,보통추천,보통
179,무안 톱머리리조트펜션,전라남도 무안군 망운면 톱머리길88,매우완전추천,비추천,보통
180,해남 땅끝풍경펜션,전라남도 해남군 송지면 땅끝해안로 2286,매우완전추천,완전추천,추천2
181,영광 쉐이리펜션,전라남도 영광군 백수읍 해안로4길 185-5,완전추천,보통추천,보통
182,완도 친구네펜션,전라남도 완도군 완도읍 정도1길 94,매우완전추천,보통추천,보통
183,완도 코너레지던스호텔,전라남도 완도군 완도읍 개포로 179,보통추천,보통추천,보통
184,해남 아침의향기펜션,전라남도 해남군 삼산면 고산로 761-5,완전추천,비추천,보통
185,신안 섬안애펜션,전라남도 신안군 증도면 지도증도로 1908,매우완전추천,보통추천,보통
186,고흥 나로리뷰펜션,전라남도 고흥군 동일면 덕흥음쪽길 272-39,매우완전추천,완전추천,추천2
187,영광 백수해안도로펜션,전라남도 영광군 백수읍 해안로 918,매우완전추천,보통추천,보통
188,보성 그린빌펜션,전라남도 보성군 보성읍 사동길 52-2,완전추천,비추천,보통
189,완도 용현이네펜션,전라남도 완도군 신지면 대곡길 79-152,매우완전추천,완전추천,추천2
190,광양 더자연펜션,전라남도 광양시 옥룡면 묵방길 30-11,매우완전추천,완전추천,추천2
191,고흥 해수온천바다스파랜드펜션,전라남도 고흥군 도양읍 명동길 16,매우완전추천,완전추천,추천2
192,광양 숲속농원펜션,전라남도 광양시 진상면 신황길 103-37,매우완전추천,매우완전추천,추천1
193,함평 윤슬한옥펜션,전라남도 함평군 함평읍 주포한옥길 23-6,매우완전추천,매우완전추천,추천1
194,고흥 나로아라펜션,전라남도 고흥군 봉래면 창포길210,매우완전추천,완전추천,추천2
195,영광 해변중앙펜션,전라남도 영광군 백수읍 해안로 1484,매우완전추천,완전추천,추천2
196,완도 리베라펜션,전라남도 완도군 신지면 신지로 415,매우완전추천,매우완전추천,추천1
197,해남 꼬꼬펜션,전라남도 해남군 해남읍 읍옥동길 7,매우완전추천,비추천,보통
