연도,시도명,시군구명,축제명,개최기간,주최/주관,최초개최년도,예산합계,국비,지방비,기타,축제종류,조직형태,방문객수합계,내국인,외국인,개최장소 , 개최방식,앞부분,뒷부분,시작,종료,시작월,시작일,종료월,종료일,개최주소,좌표,위도,경도
2023,전라남도,해남군,해남미남축제,10~11,해남군축제추진위원회,2019,700,0.0,700.0,0.0,특산물,민간단체,165000.0,165000.0,0.0,대흥사 일원,대면,10~11,,10,11,10,0,11,0,전라남도 해남군 삼산면 구림리 144,"34.497895136375,126.618186280856",34.497895136375,126.618186280856
2023,전라남도,해남군,땅끝해넘이해맞이축제,12.31.~'23.1.1.,땅끝해넘이해맞이축제추진위원회,1995,100,0.0,100.0,0.0,생태자연,민간단체,0.0,0.0,0.0,땅끝 관광지,대면,12.31.~'23.1.1.,,12.31.,1.1.,12,31,1,1,전라남도 해남군 송지면 땅끝마을길 42,"34.2997830750844,126.527483825107",34.2997830750844,126.527483825107
2023,전라남도,영암군,영암왕인문화축제,04.06.~04.09.,영암군향토축제추진위원회,1997,990,30.0,960.0,0.0,문화예술,민간단체,3570000.0,3570000.0,0.0,왕인박사유적지 일원,대면,04.06.~04.09.,,04.06.,04.09.,4,6,4,9,전라남도 영암군 왕인로 440,"34.7565303792414,126.629121078815",34.7565303792414,126.629121078815
2023,전라남도,영암군,월출산국화축제,10~11,공공(시군),2009,300,0.0,300.0,0.0,생태자연,,159380.0,159380.0,0.0,월출산기찬랜드,대면,10~11,,10,11,10,0,11,0,전라남도 영암군 영암읍 기찬랜드로 19-3,"34.7916135178363,126.686856935293",34.7916135178363,126.686856935293
2023,전라남도,영암군,마한축제,10,영암군향토축제추진위원회,2015,150,0.0,150.0,0.0,전통역사,민간단체,30000.0,30000.0,0.0,마한문화공원,대면,10,,10,,10,0,0,0,전남 나주시 반남면 고분로 747,"34.9148538318347,126.658901421558",34.9148538318347,126.658901421558
2023,전라남도,영암군,영암무화과축제,9,삼호읍 문예체육행사추진위원회,1997,180,0.0,100.0,80.0,특산물,민간단체,30000.0,30000.0,0.0,미정,미정,9,,9,,9,0,0,0,전남 영암군 삼호읍 녹색로 653-15,"34.777331067574,126.459043836676",34.777331067574,126.459043836676
2023,전라남도,무안군,무안겨울숭어축제,2023.1.14.~1.15.,,2023,90,0.0,90.0,0.0,특산물,,0.0,0.0,0.0,양간다리 수산시장 일원,대면,2023.1.14.~1.15.,,1.14.,1.15.,1,14,1,15,전남 무안군 해제면 해제중앙로 13,"35.1125544157418,126.294923670789",35.1125544157418,126.294923670789
2023,전라남도,무안군,황토갯벌축제,2023.6.9.~6.11.,,2013,500,0.0,500.0,0.0,생태자연,,50000.0,50000.0,0.0,무안황토갯벌랜드 일원,대면,2023.6.9.~6.11.,,6.9.,6.11.,6,9,6,11,전남 무안군 해제면 유월리 1-1,"35.1037182132571,126.333161742363",35.1037182132571,126.333161742363
2023,전라남도,무안군,무안연꽃축제,2023.7.20.~7.23.,,1997,700,0.0,700.0,0.0,생태자연,,100000.0,100000.0,0.0,회산백련지 일원,대면,2023.7.20.~7.23.,,7.20.,7.23.,7,20,7,23,전남 무안군 일로읍 백련로 333,"34.8600888592086,126.5298980948",34.8600888592086,126.5298980948
2023,전라남도,무안군,무안YD페스티벌,2023.10.6.~10.8.,,2019,700,0.0,700.0,0.0,문화예술,,60000.0,60000.0,0.0,남악중앙공원 일원,대면,2023.10.6.~10.8.,,10.6.,10.8.,10,6,10,8,전남 무안군 삼향읍 남악리 2204,"34.8113314547184,126.463081247802",34.8113314547184,126.463081247802
2023,전라남도,함평군,함평나비대축제,4.27.~5.7.,함평축제관광재단,1999,1000,0.0,1000.0,0.0,생태자연,재단법인,166726.0,166726.0,0.0,함평엑스포공원,혼합형,4.27.~5.7.,,4.27.,5.7.,4,27,5,7,전라남도 함평군 함평읍 곤재로 27,"35.0561887449397,126.519949384017",35.0561887449397,126.519949384017
2023,전라남도,함평군,대한민국국향대전,10.20.~11.5.,함평축제관광재단,2004,800,0.0,800.0,0.0,생태자연,재단법인,212057.0,212057.0,0.0,함평엑스포공원,혼합형,10.20.~11.5.,,10.20.,11.5.,10,20,11,5,전라남도 함평군 함장로 1160,"35.0581392332978,126.522605558513",35.0581392332978,126.522605558513
2023,전라남도,함평군,꽃무릇큰잔치,9,함평축제관광재단,2000,60,0.0,60.0,0.0,생태자연,재단법인,38000.0,38000.0,0.0,해보면 용천사 일원,대면,9,,9,,9,0,0,0,전남 함평군 해보면 광암리 410-1,"35.1819699122005,126.542245491685",35.1819699122005,126.542245491685
2023,전라남도,함평군,대한민국난명품대제전,3.25.~3.26.,함평난연합회,2005,60,0.0,60.0,0.0,특산물,민간단체,28500.0,28500.0,0.0,함평문화체육센터,대면,3.25.~3.26.,,3.25.,3.26.,3,25,3,26,전남 함평군 대동면 함장로 1377,"35.0616144525201,126.544021685235",35.0616144525201,126.544021685235
2023,전라남도,영광군,영광찰보리문화축제,5.5.~5.6.,영광찰보리문화축제추진위원회,2011,80,0.0,60.0,20.0,생태자연,민간단체,0.0,0.0,0.0,지내들 옹기돌탑공원,혼합형,5.5.~5.6.,,5.5.,5.6.,5,5,5,6,전남 영광군 군남면 포천리 390-9,"35.2450251164832,126.456911195537",35.2450251164832,126.456911195537
2023,전라남도,영광군,영광법성포단오제,6.22.~6.25.,법성포단오제보존회,조선중기,450,0.0,300.0,150.0,문화예술,사단법인,110839.0,110639.0,200.0,법성포단오제 전수교육관,혼합형,6.22.~6.25.,,6.22.,6.25.,6,22,6,25,전라남도 영광군 진굴비길 154-13,"35.3626518650711,126.435938310486",35.3626518650711,126.435938310486
2023,전라남도,영광군,영광불갑산상사화축제,9.16.~9.25.,영광불갑산상사화축제추진위원회,2001,540,0.0,520.0,20.0,생태자연,민간단체,403528.0,403028.0,500.0,불갑사 관광지,혼합형,9.16.~9.25.,,9.16.,9.25.,9,16,9,25,전라남도 영광군 불갑면 불갑사로 450,"35.1996750766919,126.550047626733",35.1996750766919,126.550047626733
2023,전라남도,장성군,황룡강(洪)길동무꽃길축제,05.19~05.21.,장성군축제위원회,1999,500,0.0,500.0,0.0,생태자연,민간단체,175958.0,175958.0,0.0,"황룡강변 일원, 홍길동테마파크",대면,05.19~05.21.,,05.19,05.21.,5,19,5,21,전라남도 장성군 황룡강동쪽자전거길 732,"35.3095104798891,126.781506179266",35.3095104798891,126.781506179266
2023,전라남도,장성군,어울림음악회,7,공공(시군),2023,100,0.0,100.0,0.0,기타,,0.0,0.0,0.0,상무평화공원,대면,7,,7,,7,0,0,0,전남 장성군 삼계면 주산리 639,"35.2509442248089,126.670245050086",35.2509442248089,126.670245050086
2023,전라남도,장성군,축령산편백산소축제,7~10,공공(시군),2008,30,0.0,30.0,0.0,생태자연,,0.0,0.0,0.0,축령산,대면,7~10,,7,10,7,0,10,0,전남 장성군 서삼면 모암리 569-5,"35.3739335153109,126.756381526789",35.3739335153109,126.756381526789
2023,전라남도,장성군,황룡강가을꽃축제,10.07.~10.15.,장성군축제위원회,2015,800,0.0,800.0,0.0,생태자연,민간단체,425199.0,425199.0,0.0,황룡강변 일원,대면,10.07.~10.15.,,10.07.,10.15.,10,7,10,15,전라남도 장성군 장성읍 기산리 28-16,"35.3070921167971,126.778194119987",35.3070921167971,126.778194119987
2023,전라남도,장성군,백양단풍축제,"4,11",공공(시군),1996,60,0.0,60.0,0.0,생태자연,,14430.0,14430.0,0.0,"국립공원 백암산, 백양사",대면,"4,11",,"4,11",,4,0,0,0,전남 장성군 북하면 백양로 1239,"35.4397264906068,126.882860626628",35.4397264906068,126.882860626628
2023,전라남도,장성군,백양단풍축제,"4,11",공공(시군),1996,60,0.0,60.0,0.0,생태자연,,14430.0,14430.0,0.0,"국립공원 백암산, 백양사",대면,"4,11",,"4,11",,11,0,0,0,전남 장성군 북하면 백양로 1239,"35.4397264906068,126.882860626628",35.4397264906068,126.882860626628
2023,전라남도,완도군,청산도슬로걷기축제,4.8.~5.7.,청산도슬로걷기축제추진위원회,2009,280,0.0,280.0,0.0,생태자연,비영리법인,47800.0,47800.0,0.0,청산면 일원,대면,4.8.~5.7.,,4.8.,5.7.,4,8,5,7,전남 완도군 청산면 청산로 48,"34.179337131508,126.85776365793",34.179337131508,126.85776365793
2023,전라남도,완도군,완도장보고수산물축제,5.4.~5.7.,장보고수산물축제추진위원회,1995,850,0.0,850.0,0.0,전통역사,비영리법인,0.0,0.0,0.0,완도 해변공원 등,대면,5.4.~5.7.,,5.4.,5.7.,5,4,5,7,전남 완도군 완도읍 군내리,"34.3168737695506,126.756385331397",34.3168737695506,126.756385331397
2023,전라남도,완도군,청정완도가을섬여행,10,청정완도가을섬여행추진위원회,2015,300,0.0,300.0,0.0,문화예술,비영리법인,37210.0,37200.0,10.0,완도일원,대면,10,,10,,10,0,0,0,전라남도 완도군 해변공원로 52,"34.3187029865155,126.750263377049",34.3187029865155,126.750263377049
