숙소번호,모텔명,주소,추천여부_3,추천여부_2,추천여부_최종,전체평점,평점/친절도,평점/청결도,평점/편의성,평점/주변여행,평점순/친절도순,평점순/청결도순,평점순/편의성순,평점순/주변여행순
151,영광 노을연가펜션,전라남도 영광군 백수읍 해안로4길 185-37,매우완전추천,보통추천,2,4.5,4.4,4.4,4.3,4.4,4.38,4.38,4.37,4.38
152,보성 보성녹차리조트,전라남도 보성군 보성읍 녹차로 777,완전추천,비추천,2,4.3,4.3,4.1,4.5,4.5,4.34,4.32,4.37,4.37
153,고흥 나로in별빛펜션,전라남도 고흥군 동일면 성두구룡길 72-14,매우완전추천,매우완전추천,5,4.9,4.9,4.9,4.6,4.8,4.81,4.81,4.78,4.8
154,완도 솔비치펜션,전라남도 완도군 신지면 명사십리61번길 163,매우완전추천,보통추천,2,4.1,4.3,4.3,3.9,4.4,4.23,4.23,4.19,4.24
155,완도 동고리의아침펜션,전라남도 완도군 신지면 신지로 1261,매우완전추천,매우완전추천,5,4.9,5,4.9,4.7,4.4,4.78,4.77,4.74,4.71
156,고흥 거금아일랜드펜션,전라남도 고흥군 금산면 배천길 36,매우완전추천,비추천,2,4.5,4.8,4.4,4.4,4.2,4.49,4.44,4.44,4.42
157,신안 천일염힐링캠프카라반,전라남도 신안군 증도면 지도증도로 1083-4,매우완전추천,비추천,2,3.3,5,3,3.3,4.3,4.02,3.8,3.83,3.94
158,보성 왕실의펜션,전라남도 보성군 웅치면 일림로 530-26,매우완전추천,완전추천,4,5,5,5,5,5,5,5,5,5
159,보성 별바라기펜션,전라남도 보성군 득량면 공룡로 659-8,매우완전추천,완전추천,4,4.8,4.9,4.8,4.9,4.9,4.88,4.87,4.88,4.88
160,고흥 하얀노을호텔,전라남도 고흥군 동일면 와다리길 3,보통추천,완전추천,2,4.6,4.6,4.6,4.4,4.5,4.53,4.53,4.51,4.52
161,완도(보길도) 블랙스톤펜션,전라남도 완도군 보길면 예송로 264-10,매우완전추천,비추천,2,4.3,4.7,4.3,4,4,4.3,4.26,4.22,4.22
